year,govt debt,revenue expenditure,capital expenditure,FDI,total expenditure,agriculture expenditure,rural development expenditure,energy expenditure,industry and minerals expenditure,transport expenditure,internal debt,exchange rate,govt debt in % of GDP,FDI in % of GDP,GDP
1970,23.83414272,3.735083532,3.489260143,0.045458191,7.499,,,,,,,7.5,38.18350324,0.072826324,62.42
1971,25.31215662,4.428571429,2.783482143,0.047659006,9.202,,,,,,,7.49,37.58300908,0.070763187,67.35
1972,26.55241223,5.19221968,3.797482838,0.017789205,10.352,,,,,,,7.59,37.15702803,0.024893933,71.46
1973,29.18740642,5.832722833,4.201465201,0.037912097,10.618,,,,,,,7.74,34.12933398,0.044331264,85.52
1974,28.63265318,6.982779828,5.238622386,0.056972348,12.267,,,,,,,8.1,28.76786213,0.057241382,99.53
1975,28.42220383,8.877862595,6.871501272,0.010325953,14.772,,,,,,,8.38,28.86382028,0.010486395,98.47
1976,34.64835431,9.54965358,6.220554273,0.00772765,15.242,,,,,,,8.96,33.63917894,0.007502573,103.0
1977,44.80193007,9.627906977,6.763213531,0.035915554,17.741,,,,,,,8.74,37.02638849,0.029682276,121.0
1978,50.14864965,10.57623762,8.003960396,0.018050435,22.913,,,,,,,8.19,36.60485376,0.0131755,137.0
1979,59.30494873,10.38996479,6.30193662,0.04857265,23.323,,,,,,,8.13,38.7614044,0.03174683,153.0
1980,69.52372419,11.64915117,6.756669361,0.079021778,28.967,,,,,,39.267,7.86,37.37834634,0.042484827,186.0
1981,70.52386368,12.21887391,7.816812054,0.09168657,29.174,,,,,,41.17,8.66,36.54086201,0.047505995,193.0
1982,82.36641711,14.46141975,9.297067901,0.072182123,32.549,,,,,,49.618,9.46,40.97831697,0.035911504,201.0
1983,84.94090531,15.98491379,9.542385057,0.005633227,35.182,,,,,,49.765,10.1,38.96371803,0.002584049,218.0
1984,86.59075459,17.06161429,9.821934689,0.019225703,38.408,1.607,2.353,8.52,4.325,3.585,51.529,11.36,40.84469556,0.009068728,212.0
1985,101.3913011,19.38514286,10.70971429,0.106312867,42.576,1.791,2.665,9.263,4.0,4.205,57.428,12.37,43.51557988,0.04562784,233.0
1986,117.1275475,17.96833773,9.699208443,0.117736622,49.894,2.175,3.033,9.194,3.902,4.786,68.447,12.61,47.0391757,0.047283784,249.0
1987,133.9880821,17.81404321,8.521219136,0.212294445,52.671,2.24,3.016,10.205,4.02,5.188,76.116,12.96,48.02440219,0.076091199,279.0
1988,142.7496158,17.74549032,8.201049524,0.091376244,56.833,2.231,3.603,11.388,4.209,5.4,82.254,13.92,48.0638437,0.030766412,297.0
1989,146.7762881,20.46860057,9.148230794,0.25206419,57.245,2.098,3.165,10.537,3.927,4.975,82.066,16.23,49.58658381,0.085156821,296.0
1990,163.0142447,22.66913352,9.800185014,0.236705467,60.17,2.201,2.977,11.276,3.751,5.322,88.002,17.5,50.78325379,0.073740021,321.0
1991,135.027217,23.22664409,8.21958792,0.073508958,48.995,1.854,2.803,8.923,3.274,4.689,75.967,22.74,50.01008036,0.02722554,270.0
1992,143.0809959,25.53070779,8.239052603,0.276312813,47.306,1.645,3.24,10.382,3.272,4.621,76.813,25.92,49.68090136,0.095941949,288.0
1993,144.4098651,26.21643238,8.163839069,0.549787429,46.524,1.755,3.327,9.013,2.981,3.968,80.588,30.49,51.75980829,0.197056426,279.0
1994,162.1733044,28.35856944,8.97050627,0.972451922,51.24,1.62,3.307,8.573,3.445,4.389,84.943,31.37,49.5942827,0.297385909,327.0
1995,170.9699087,31.12171785,8.547841567,2.141950788,54.972,1.845,3.087,8.427,3.721,5.14,94.933,32.43,47.4916413,0.59498633,360.0
1996,179.6925993,33.67938122,8.915872007,2.426693853,56.734,1.673,3.09,8.973,2.909,5.109,97.227,35.43,45.7233077,0.617479352,393.0
1997,209.5202143,37.09833368,10.63937461,3.578469274,63.909,2.12,3.351,9.797,2.197,5.604,107.132,36.31,50.36543613,0.86020896,416.0
1998,211.8439085,46.47080292,13.49914126,2.632454919,67.702,1.785,3.101,8.679,1.757,5.687,111.414,41.26,50.31921817,0.625286204,421.0
1999,235.7100471,54.95984113,10.8064872,2.169439843,69.218,1.76,2.531,9.497,1.595,5.976,165.874,43.06,51.35295144,0.472644846,459.0
2000,257.4198736,63.00204082,10.82834467,3.581195197,72.45,1.835,3.372,8.265,1.767,6.657,178.838,44.94,55.0042465,0.765212649,468.0
2001,286.2368625,66.53453984,13.42794085,5.123434779,76.777,1.622,4.412,9.474,1.86,7.469,193.486,47.19,59.0179098,1.056378305,485.0
2002,322.1467721,81.91366385,18.02539299,5.209594796,85.013,1.805,4.581,10.327,1.585,7.255,209.975,48.61,62.55277129,1.011571805,515.0
2003,378.1155277,83.21627212,25.08136061,3.68380667,101.16,2.354,4.502,13.038,2.171,8.324,245.106,46.58,62.1900539,0.605889255,608.0
2004,443.7842051,79.3904152,23.41065895,5.428113961,109.941,2.77,6.609,4.864,1.743,8.554,281.547,45.32,62.59297674,0.765601405,709.0
2005,510.257514,96.08047234,14.5116991,7.266025904,114.68,3.758,8.108,6.678,2.346,11.909,315.138,44.1,62.2265261,0.88610072,820.0
2006,560.8672646,110.265481,14.73709021,20.0235832,128.755,4.432,9.03,18.688,4.304,18.482,340.979,45.31,59.66673028,2.130168425,940.0
2007,701.469944,111.2337201,22.12537425,25.29540737,172.351,6.558,15.98,25.686,7.318,25.408,435.224,41.35,57.49753639,2.073394047,1220.0
2008,687.5065714,140.3213718,15.93742266,43.44627882,203.162,6.78,15.282,34.101,8.973,29.271,464.225,43.51,57.29221428,3.620523235,1200.0
2009,740.4363779,146.2873416,18.07765121,35.53131045,211.627,8.339,15.927,31.037,9.307,28.825,480.962,48.41,55.25644611,2.651590332,1340.0
2010,866.744093,165.2728283,24.86977926,27.46857278,261.825,10.067,17.59,42.589,11.326,34.437,583.231,45.73,51.5919103,1.635034094,1680.0
2011,938.3292766,172.4021968,23.860969,36.43755503,279.487,3.649,7.838,28.315,7.114,19.395,692.227,46.67,51.55655366,2.002063463,1820.0
2012,927.4079591,183.4362,24.61395486,24.0267019,263.917,3.329,7.256,34.129,6.256,19.453,704.447,53.44,50.67803055,1.31293453,1830.0
2013,935.7999889,195.715794,26.77628763,28.20274229,275.667,1.731,0.216,30.195,7.779,17.769,749.649,56.57,50.31182736,1.516276467,1860.0
2014,1017.978867,208.409149,27.94161102,34.59145564,266.914,1.755,0.482,27.518,7.302,28.638,760.194,62.33,49.90092487,1.69565959,2040.0
